user_id,Username,anime_id,Anime Title,rating
549,dotGif,790,Ergo Proxy,9
549,dotGif,306,Abenobashi Mahou☆Shoutengai,8
549,dotGif,54,Appleseed (Movie),7
549,dotGif,66,Azumanga Daiou The Animation,8
549,dotGif,28805,Bakemono no Ko,9
549,dotGif,13535,Binbougami ga!,8
549,dotGif,889,Black Lagoon,9
549,dotGif,1519,Black Lagoon: The Second Barrage,9
549,dotGif,60,Chrno Crusade,7
549,dotGif,1575,Code Geass: Hangyaku no Lelouch,9
549,dotGif,1,Cowboy Bebop,10
549,dotGif,72,Full Metal Panic? Fumoffu,6
549,dotGif,237,Koukyoushihen Eureka Seven,9
549,dotGif,34599,Made in Abyss,10
549,dotGif,36862,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,10
549,dotGif,20,Naruto,6
549,dotGif,2001,Tengen Toppa Gurren Lagann,10
549,dotGif,1576,Bakumatsu Kikansetsu Irohanihoheto,8
549,dotGif,59,Chobits,7
549,dotGif,1535,Death Note,9
644,zimdudealchemist,1,Cowboy Bebop,10
644,zimdudealchemist,5,Cowboy Bebop: Tengoku no Tobira,10
644,zimdudealchemist,227,FLCL,10
644,zimdudealchemist,121,Fullmetal Alchemist,9
644,zimdudealchemist,5114,Fullmetal Alchemist: Brotherhood,10
644,zimdudealchemist,189,Love Hina,8
644,zimdudealchemist,190,Love Hina Again,7
644,zimdudealchemist,191,Love Hina Christmas Special: Silent Eve,9
644,zimdudealchemist,192,Love Hina Haru Special: Kimi Sakura Chiru Nakare!!,7
644,zimdudealchemist,963,"Love Hina: Motoko no Sentaku, Koi ka Ken... ""Naku na""",5
644,zimdudealchemist,205,Samurai Champloo,10
644,zimdudealchemist,696,Tenchi Muyou!,8
644,zimdudealchemist,30,Neon Genesis Evangelion,10
644,zimdudealchemist,3588,Soul Eater,9
644,zimdudealchemist,14227,Tonari no Kaibutsu-kun,8
1519,wretchedx,1535,Death Note,7
1519,wretchedx,469,Karin,9
1519,wretchedx,330,Midori no Hibi,9
1519,wretchedx,853,Ouran Koukou Host Club,9
1519,wretchedx,1218,Tonagura!,8
1519,wretchedx,1051,Ao no 6-gou,7
1519,wretchedx,357,Bokusatsu Tenshi Dokuro-chan,9
1519,wretchedx,71,Full Metal Panic!,10
1519,wretchedx,73,Full Metal Panic! The Second Raid,10
1519,wretchedx,72,Full Metal Panic? Fumoffu,10
1519,wretchedx,1281,Gakkou no Kaidan,7
1519,wretchedx,431,Howl no Ugoku Shiro,9
1519,wretchedx,146,Kono Minikuku mo Utsukushii Sekai,7
1519,wretchedx,164,Mononoke Hime,8
